#;application/x-mathcad
%;application/x-trash
123;application/vnd.lotus-1-2-3
f4p;video/mp4
f4v;video/mp4
f77;text/x-fortran
f90;text/x-fortran
f95;text/x-fortran
f;text/x-fortran
fb2;application/x-fictionbook+xml
fb;application/x-maker
fbdoc;application/x-maker
fbs;image/vnd.fastbidsheet
fcdt;application/vnd.adobe.formscentral.fcdt
fch;x-chemical/x-gaussian-checkpoint
fchk;x-chemical/x-gaussian-checkpoint
fcs;application/vnd.isac.fcs
fdf;application/vnd.fdf
fdt;application/fdt+xml
fe_launch;application/vnd.denovo.fcselayout-link
fg5;application/vnd.fujitsu.oasysgp
fgd;application/x-director
fh4;image/x-freehand
fh5;image/x-freehand
fh7;image/x-freehand
fh;image/x-freehand
fhc;image/x-freehand
fif;application/x-fractals
fig;application/x-xfig
fits;application/fits
fl;application/x-fluid
fla;application/vnd.dtg.local.flash
flac;audio/x-flac
flc;video/x-flic
fli;video/x-fli
flo;application/vnd.micrografx.flo
flv;video/x-flv
flw;application/vnd.kde.kivio
flx;text/vnd.fmi.flexstor
fly;text/vnd.fly
fm;application/x-maker
fmf;video/x-atomic3d-feature
fnc;application/vnd.frogans.fnc
fo;text/x-xslfo
fodg;application/vnd.oasis.opendocument.graphics-flat-xml
fodp;application/vnd.oasis.opendocument.presentation-flat-xml
fods;application/vnd.oasis.opendocument.spreadsheet-flat-xml
fodt;application/vnd.oasis.opendocument.text-flat-xml
for;text/x-fortran
fpx;application/vnd.netfpx
frame;application/x-maker
frl;application/x-freeloader
frm;application/vnd.ufdl
fsc;application/vnd.fsc.weblaunch
fst;image/vnd.fst
ftc;application/vnd.fluxtime.clip
fti;application/vnd.anser-web-funds-transfer-initiation
funk;audio/x-make
fvt;video/vnd.fvt
fxm;video/x-javafx
fxp;application/vnd.adobe.fxp
fxpl;application/vnd.adobe.fxp
fzs;application/vnd.fuzzysheet
g2w;application/vnd.geoplan
g3;application/vnd.geocube+xml
g3w;application/vnd.geospace
g;text/plain
gac;application/vnd.groove-account
gal;x-chemical/x-gaussian-log
gam;x-chemical/x-gamess-input
gamin;x-chemical/x-gamess-input
gau;x-chemical/x-gaussian-input
gb;application/x-gameboy-rom
gba;application/x-gba-rom
gbc;application/x-gameboy-rom
gbr;application/rpki-ghostbusters
gca;application/x-gca-compressed
gcd;text/x-pcs-gcd
gcf;application/x-graphing-calculator
gcg;x-chemical/x-gcg8-sequence
gcrd;text/vcard
gdl;model/vnd.gs-gdl
ged;application/x-gedcom
gedcom;application/x-gedcom
gem;application/x-tar
gen;x-chemical/x-genbank
geo;application/vnd.dynageo
geojson;application/geo+json
gex;application/vnd.geometry-explorer
gf;application/x-tex-gf
gg;application/x-sms-rom
ggb;application/vnd.geogebra.file
ggt;application/vnd.geogebra.tool
ghf;application/vnd.groove-help
gif;image/gif
gim;application/vnd.groove-identity-message
gjc;x-chemical/x-gaussian-input
gjf;x-chemical/x-gaussian-input
gl;video/x-gl
glade;application/x-glade
glb;model/gltf-binary
gltf;model/gltf+json
gml;application/gml+xml
gmo;application/x-gettext-translation
gmx;application/vnd.gmx
gnc;application/x-gnucash
gnd;application/x-gnunet-directory
gnucash;application/x-gnucash
gnumeric;application/x-gnumeric
gnuplot;application/x-gnuplot
go;text/x-go
gp;application/x-gnuplot
gpg;application/pgp-encrypted
gph;application/vnd.flographit
gplt;application/x-gnuplot
gpt;x-chemical/x-mopac-graph
gpx;application/x-gpx+xml
gqf;application/vnd.grafeq
gqs;application/vnd.grafeq
gra;application/x-graphite
gram;application/srgs
gramps;application/x-gramps-xml
gre;application/vnd.geometry-explorer
grv;application/vnd.groove-injector
grxml;application/srgs+xml
gs;text/x-genie
gsd;audio/x-gsm
gsf;application/x-font
gsheet;application/urc-grpsheet+xml
gsm;model/vnd.gs-gdl
gsp;application/x-gsp
gss;application/x-gss
gtar;application/x-gtar
gtm;application/vnd.groove-tool-message
gtw;model/vnd.gtw
gv;text/vnd.graphviz
gvp;text/x-google-video-pointer
gxf;application/x-gxf
gxt;application/vnd.geonext
gz;application/gzip
gzip;application/x-gzip
h++;text/x-c++hdr
h261;video/h261
h263;video/h263
h264;video/h264
